Countries,2000,2010,2015,2019
Afghanistan,55.0,59.9,61.7,63.2
Albania,73.5,76.2,77.8,78.0
Algeria,72.2,75.9,76.5,77.1
Angola,49.3,58.1,61.7,63.1
Antigua and Barbuda,74.6,75.9,76.1,76.5
Argentina,74.1,75.4,76.2,76.6
Armenia,71.9,73.1,74.5,76.0
Australia,79.7,81.9,82.3,83.0
Austria,78.2,80.4,81.0,81.6
Azerbaijan,65.5,69.0,70.7,71.4
Bahamas,70.9,73.0,72.9,73.2
Bahrain,70.5,74.5,76.5,75.8
Bangladesh,65.6,70.3,73.6,74.3
Barbados,74.5,75.9,76.2,76.0
Belarus,68.8,70.4,73.8,74.8
Belgium,77.7,79.8,80.7,81.4
Belize,70.3,73.4,74.0,74.4
Benin,56.6,60.5,62.0,63.4
Bhutan,65.7,71.0,72.2,73.1
Bolivia (Plurinational State of),66.0,70.3,71.5,72.1
Bosnia and Herzegovina,75.4,76.2,76.3,76.8
Botswana,45.6,58.1,60.9,62.2
Brazil,71.5,74.1,75.1,75.9
Brunei Darussalam,72.2,74.6,74.4,74.3
Bulgaria,71.6,73.6,74.6,75.1
Burkina Faso,51.6,58.6,60.9,62.7
Burundi,43.8,58.6,62.0,63.8
Cabo Verde,71.0,74.1,74.9,74.0
Cambodia,58.7,67.2,69.2,70.1
Cameroon,52.8,56.6,59.1,62.4
Canada,79.1,81.3,81.8,82.2
Central African Republic,44.3,48.5,50.5,53.1
Chad,51.1,55.7,57.9,59.6
Chile,76.8,78.5,79.8,80.7
China,71.6,74.9,76.6,77.4
Colombia,73.7,77.1,78.4,79.3
Comoros,61.5,65.0,66.5,67.4
Congo,52.1,61.0,63.1,64.7
Costa Rica,78.0,79.6,80.8,80.8
Croatia,74.4,76.7,77.6,78.6
Cuba,76.8,77.7,77.9,77.8
Cyprus,78.7,81.0,82.0,83.1
Czechia,75.0,77.6,78.5,79.1
Côte d'Ivoire,50.3,56.6,60.2,62.9
Democratic People's Republic of Korea,64.0,70.2,71.8,72.6
Democratic Republic of the Congo,52.4,57.5,60.4,62.4
Denmark,76.9,79.2,80.6,81.3
Djibouti,59.8,61.9,64.6,65.8
Dominican Republic,73.2,73.2,71.8,72.8
Ecuador,74.5,75.0,77.2,78.4
Egypt,69.8,70.2,70.5,71.8
El Salvador,72.5,74.5,73.2,75.0
Equatorial Guinea,54.3,59.7,61.1,62.2
Eritrea,54.5,60.7,62.3,64.1
Estonia,70.9,75.9,77.6,78.9
Eswatini,47.0,47.4,54.0,57.7
Ethiopia,50.6,62.9,66.8,68.7
Fiji,65.9,67.6,67.8,68.0
Finland,77.6,79.9,81.2,81.6
France,78.9,81.2,81.9,82.5
Gabon,58.1,62.2,64.9,66.5
Gambia,59.2,62.4,64.1,65.5
Georgia,69.4,71.9,72.6,73.3
Germany,78.1,80.2,80.4,81.7
Ghana,59.2,62.0,64.5,66.3
Greece,78.2,80.1,80.4,81.1
Grenada,72.0,72.0,72.7,72.9
Guatemala,66.8,69.3,70.9,72.0
Guinea,54.3,58.1,58.8,61.0
Guinea-Bissau,50.3,55.4,58.2,60.2
Guyana,63.0,64.8,65.6,65.7
Haiti,57.0,31.3,62.6,64.1
Honduras,70.0,71.1,69.8,71.9
Hungary,71.3,74.6,75.6,76.4
Iceland,79.7,81.7,82.1,82.3
India,62.1,67.2,69.3,70.8
Indonesia,67.2,69.3,70.6,71.3
Iran (Islamic Republic of),72.6,75.9,76.7,77.3
Iraq,68.8,70.2,70.3,72.4
Ireland,76.4,80.4,81.1,81.8
Israel,78.6,81.6,81.9,82.6
Italy,79.4,81.9,82.2,83.0
Jamaica,74.2,75.8,75.9,76.0
Japan,81.1,82.7,83.6,84.3
Jordan,72.6,76.6,77.8,77.9
Kazakhstan,63.1,68.4,71.9,74.0
Kenya,53.9,61.2,64.2,66.1
Kiribati,55.7,58.0,58.2,59.4
Kuwait,77.9,79.8,81.1,81.0
Kyrgyzstan,66.0,69.2,71.6,74.2
Lao People's Democratic Republic,58.4,64.9,67.1,68.5
Latvia,70.2,72.9,74.8,75.4
Lebanon,74.6,75.5,76.0,76.4
Lesotho,47.8,47.4,47.7,50.7
Liberia,53.8,60.7,61.2,64.1
Libya,74.4,76.0,74.6,75.8
Lithuania,72.0,73.1,74.4,76.0
Luxembourg,78.2,80.9,82.3,82.4
Madagascar,58.8,62.8,64.2,65.3
Malawi,44.7,56.8,63.0,65.6
Malaysia,72.8,74.3,75.0,74.7
Maldives,71.0,77.0,78.4,79.6
Mali,52.6,59.0,60.9,62.8
Malta,77.9,80.4,81.6,81.9
Mauritania,62.0,65.6,67.4,68.4
Mauritius,71.2,73.2,74.1,74.1
Mexico,74.4,75.1,75.9,76.0
Micronesia (Federated States of),61.2,62.7,62.7,63.0
Mongolia,60.5,65.1,67.6,68.1
Montenegro,73.6,74.7,75.3,75.9
Morocco,69.3,71.6,72.5,73.0
Mozambique,50.7,53.5,55.9,58.1
Myanmar,60.0,64.8,67.6,69.1
Namibia,53.3,60.9,62.9,64.6
Nepal,65.3,69.2,69.4,70.9
Netherlands,78.0,80.7,81.3,81.8
New Zealand,78.6,80.9,81.3,82.0
Nicaragua,73.3,74.1,74.6,75.0
Niger,50.4,59.0,61.5,63.3
Nigeria,53.6,59.2,61.2,62.6
North Macedonia,71.1,73.1,73.7,74.8
Norway,78.5,80.9,82.0,82.6
Oman,69.1,70.4,72.5,73.9
Pakistan,60.1,62.6,64.2,65.6
Panama,77.2,77.5,78.7,79.3
Papua New Guinea,63.3,63.4,64.5,65.3
Paraguay,74.8,75.0,75.6,75.8
Peru,74.4,77.3,79.1,79.9
Philippines,69.0,70.0,70.3,70.4
Poland,73.7,76.3,77.3,78.3
Portugal,76.6,79.7,80.9,81.6
Qatar,71.3,74.1,76.4,77.2
Republic of Korea,76.2,80.6,82.2,83.3
Republic of Moldova,66.9,68.8,71.1,73.3
Romania,71.4,73.7,74.8,75.6
Russian Federation,65.3,68.8,71.3,73.2
Rwanda,47.5,64.4,67.7,69.1
Saint Lucia,73.2,75.2,75.0,74.3
Saint Vincent and the Grenadines,70.6,72.9,72.5,73.2
Samoa,68.5,69.6,70.0,70.5
Sao Tome and Principe,63.5,68.2,69.6,70.4
Saudi Arabia,70.5,71.8,73.2,74.3
Senegal,58.6,65.5,67.2,68.6
Serbia,71.4,74.2,75.2,75.9
Seychelles,71.9,73.0,73.2,73.3
Sierra Leone,48.7,54.7,56.9,60.8
Singapore,78.4,81.7,82.8,83.2
Slovakia,73.3,75.5,77.0,78.2
Slovenia,76.1,79.6,80.5,81.3
Solomon Islands,62.5,63.7,64.7,65.2
Somalia,49.9,52.0,54.6,56.5
South Africa,55.8,57.1,62.6,65.3
South Sudan,54.1,61.1,62.0,62.8
Spain,79.1,81.7,82.3,83.2
Sri Lanka,71.9,73.3,76.3,76.9
Sudan,62.5,66.6,67.9,69.1
Suriname,69.9,71.8,72.6,71.5
Sweden,79.6,81.3,81.7,82.4
Switzerland,79.7,82.2,82.6,83.4
Syrian Arab Republic,71.5,74.3,64.4,72.7
Tajikistan,65.6,68.0,68.7,69.5
Thailand,71.3,76.3,77.4,77.7
Timor-Leste,62.7,68.1,68.9,69.6
Togo,55.9,59.3,61.9,64.3
Tonga,70.9,72.2,72.3,72.6
Trinidad and Tobago,69.7,72.1,74.6,76.1
Tunisia,74.1,76.0,76.7,77.0
Turkmenistan,63.3,67.3,69.1,69.7
Türkiye,74.4,76.9,77.8,78.6
Uganda,48.8,59.7,64.5,66.7
Ukraine,67.5,70.2,72.2,73.0
United Arab Emirates,73.2,74.9,75.3,76.1
United Kingdom of Great Britain and Northern Ireland,77.9,80.2,80.7,81.4
United Republic of Tanzania,52.5,61.4,65.4,67.3
United States of America,76.7,78.6,78.6,78.5
Uruguay,74.8,76.4,77.0,77.1
Uzbekistan,65.3,70.2,71.4,73.0
Vanuatu,63.9,64.5,64.6,65.3
Venezuela (Bolivarian Republic of),74.1,74.8,74.7,73.9
Viet Nam,71.4,72.7,73.2,73.7
Yemen,62.7,67.7,67.5,66.6
Zambia,44.5,56.7,60.5,62.5
Zimbabwe,46.6,51.5,58.5,60.7
