Countries,2000,2010,2015,2019
Afghanistan,13.9,15.1,15.6,15.2
Albania,19.0,21.3,21.1,21.0
Algeria,19.8,21.4,21.8,22.0
Angola,14.4,16.0,16.7,17.0
Antigua and Barbuda,20.3,20.5,20.4,20.6
Argentina,20.2,20.6,21.0,21.1
Armenia,18.8,18.8,19.4,20.4
Australia,23.1,24.7,25.0,25.6
Austria,22.0,23.4,23.6,24.1
Azerbaijan,16.6,16.4,16.6,17.1
Bahamas,19.9,20.7,20.9,20.8
Bahrain,15.0,17.8,19.7,19.0
Bangladesh,17.8,19.0,20.9,20.9
Barbados,20.7,21.3,21.4,20.9
Belarus,17.2,17.7,19.2,19.7
Belgium,21.6,23.1,23.6,24.0
Belize,18.7,21.3,21.5,21.5
Benin,16.1,16.7,17.0,17.4
Bhutan,17.9,18.9,19.2,19.4
Bolivia (Plurinational State of),17.8,18.5,18.5,18.6
Bosnia and Herzegovina,19.6,19.7,19.8,20.2
Botswana,12.9,15.3,15.9,16.2
Brazil,19.7,20.8,21.4,21.9
Brunei Darussalam,16.8,19.0,19.0,19.2
Bulgaria,17.6,18.9,19.4,19.8
Burkina Faso,15.5,16.2,16.4,16.8
Burundi,13.0,15.6,16.2,16.5
Cabo Verde,20.4,22.1,21.7,19.7
Cambodia,15.8,17.2,17.6,17.7
Cameroon,15.1,15.9,16.4,17.1
Canada,22.5,24.4,24.7,25.2
Central African Republic,11.8,12.5,12.8,13.2
Chad,14.9,15.6,16.2,16.5
Chile,21.3,22.5,23.6,24.3
China,18.4,19.6,20.6,21.1
Colombia,21.7,23.0,23.4,24.0
Comoros,16.3,17.6,17.9,18.1
Congo,13.9,15.7,16.1,16.4
Costa Rica,22.4,24.0,24.9,25.0
Croatia,19.0,20.4,21.0,21.8
Cuba,21.6,21.5,21.8,21.6
Cyprus,21.9,23.5,24.2,24.9
Czechia,19.3,21.0,21.5,22.1
Côte d'Ivoire,14.5,15.6,16.4,17.1
Democratic People's Republic of Korea,15.5,18.0,18.6,19.1
Democratic Republic of the Congo,14.9,15.5,16.2,16.6
Denmark,20.6,22.2,23.2,23.6
Djibouti,16.3,17.1,17.5,17.8
Dominican Republic,22.4,21.4,20.2,20.6
Ecuador,21.9,21.6,22.5,23.2
Egypt,18.5,17.7,17.0,17.8
El Salvador,21.4,22.1,21.8,22.1
Equatorial Guinea,15.5,17.6,17.7,17.6
Eritrea,13.5,14.5,15.1,15.5
Estonia,18.6,20.8,21.9,22.5
Eswatini,13.6,13.3,14.6,15.1
Ethiopia,14.1,17.3,18.1,18.4
Fiji,14.7,15.8,16.0,16.2
Finland,21.6,23.3,23.9,24.2
France,23.0,24.7,25.0,25.3
Gabon,15.2,16.4,16.9,17.2
Gambia,16.2,16.5,16.7,16.9
Georgia,17.0,18.2,18.4,18.8
Germany,21.8,23.2,23.2,24.4
Ghana,16.0,16.2,16.8,17.2
Greece,21.5,23.3,23.5,23.8
Grenada,17.9,17.7,18.9,18.7
Guatemala,19.1,19.6,19.9,20.5
Guinea,15.7,15.8,15.9,16.5
Guinea-Bissau,13.8,14.6,15.0,15.5
Guyana,15.9,16.2,16.6,16.6
Haiti,15.8,11.5,16.5,16.8
Honduras,19.6,18.9,17.9,18.3
Hungary,18.0,19.7,19.9,20.2
Iceland,22.6,23.9,24.4,24.6
India,16.1,18.0,18.5,18.8
Indonesia,17.6,17.5,17.7,17.9
Iran (Islamic Republic of),19.7,21.4,21.6,21.8
Iraq,18.3,18.8,19.2,19.2
Ireland,20.2,23.2,23.7,24.2
Israel,21.9,24.2,24.3,24.9
Italy,22.5,24.4,24.5,25.0
Jamaica,21.0,21.6,21.4,21.3
Japan,24.1,25.3,25.9,26.3
Jordan,18.6,21.0,21.8,21.8
Kazakhstan,15.3,17.2,18.6,19.5
Kenya,16.3,16.8,17.3,17.6
Kiribati,12.6,13.2,13.5,13.7
Kuwait,22.2,23.2,24.2,24.0
Kyrgyzstan,16.7,17.6,18.4,20.0
Lao People's Democratic Republic,15.3,16.9,17.5,17.6
Latvia,18.3,19.2,20.4,20.5
Lebanon,19.8,19.9,20.1,20.5
Lesotho,13.9,12.8,12.7,13.4
Liberia,15.8,16.7,17.1,17.7
Libya,21.0,21.5,21.3,21.3
Lithuania,19.5,19.9,20.3,20.9
Luxembourg,21.8,23.5,24.4,24.4
Madagascar,15.4,16.1,16.5,16.8
Malawi,14.0,16.0,16.9,17.2
Malaysia,18.1,19.2,19.9,19.5
Maldives,18.0,20.3,21.3,22.1
Mali,16.0,16.8,17.1,17.5
Malta,20.8,23.2,24.2,24.5
Mauritania,17.1,18.5,18.8,19.0
Mauritius,17.8,19.4,20.2,20.3
Mexico,21.6,21.5,21.7,21.8
Micronesia (Federated States of),14.6,14.9,14.8,14.7
Mongolia,13.4,15.1,16.5,16.4
Montenegro,19.2,19.0,19.0,19.4
Morocco,18.4,18.7,18.5,18.7
Mozambique,15.2,15.1,15.3,15.8
Myanmar,15.4,17.0,17.7,18.1
Namibia,14.6,16.4,17.0,17.2
Nepal,17.6,18.1,17.8,18.0
Netherlands,21.3,23.3,23.6,24.1
New Zealand,22.4,24.2,24.3,24.8
Nicaragua,20.1,19.6,19.9,20.0
Niger,15.8,16.6,16.8,17.2
Nigeria,16.2,17.3,17.8,18.2
North Macedonia,16.4,17.5,17.9,18.3
Norway,22.0,23.5,24.2,24.7
Oman,15.6,15.9,16.7,17.8
Pakistan,15.7,16.4,16.8,17.3
Panama,23.3,23.3,24.0,24.3
Papua New Guinea,16.4,16.1,16.3,16.5
Paraguay,22.0,21.6,21.8,21.8
Peru,22.3,23.0,24.0,24.4
Philippines,17.6,18.0,17.8,17.8
Poland,19.2,21.0,21.5,22.1
Portugal,21.2,23.1,23.8,24.3
Qatar,15.9,17.3,19.0,19.5
Republic of Korea,20.7,23.7,24.8,25.8
Republic of Moldova,15.8,16.5,17.8,19.0
Romania,18.2,19.2,19.9,20.3
