Countries,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Algeria,22.9,23.45,23.98,24.48,24.92,25.3,25.67,26.05,26.49,27.08,27.81,28.71,29.77,30.98,32.34,33.78,35.3,36.87,38.49,40.1,41.69
Angola,72.07,75.04,77.97,81.08,84.45,88.34,92.91,98.31,104.88,112.22,119.97,128.5,137.54,147.1,156.78,166.19,175.45,184.16,191.94,198.9,205.14
Benin,86.03,88.61,91.1,93.44,95.64,97.87,100.13,102.35,104.6,106.85,109.14,111.45,113.82,116.29,118.87,121.6,124.44,127.43,130.49,133.64,136.81
Botswana,36.31,37.74,38.96,39.94,43.52,45.37,48.18,50.31,55.22,61.25,62.55,65.93,68.78,68.59,68.85,71.32,73.68,73.05,72.24,73.17,74.01
Burkina Faso,85.35,88.23,91.35,94.5,97.66,101.09,104.73,108.73,112.9,117.2,121.94,127.22,133.05,139.34,146.04,152.79,159.15,164.99,170.17,174.69,178.71
Burundi,54.61,56.74,59.08,61.74,64.58,67.86,71.56,75.74,80.47,85.6,91.03,97.02,103.46,110.33,117.51,124.7,131.73,138.07,143.94,149.46,154.6
Cabo Verde,14.22,14.99,15.9,16.99,18.29,19.74,21.26,22.78,24.21,25.46,26.46,27.17,27.58,27.77,27.84,28.04,28.6,29.72,31.62,34.44,38.09
Cameroon,72.42,75.09,77.71,80.8,84.33,88.12,92.48,96.88,101.5,105.93,110.16,114.51,117.77,121.3,124.57,127.94,131.14,134.64,138.16,141.51,144.45
Central African Republic,103.05,105.91,108.78,110.92,112.65,115.53,118.57,121.11,123.32,126.39,129.78,133.51,137.47,141.18,145.3,149.71,153.6,157.3,160.65,163.6,166.14
Chad,110.53,114.34,118.02,121.88,125.81,129.49,133.3,136.88,140.63,144.46,148.43,152.33,156.29,160.13,163.85,167.46,170.92,174.3,177.67,181.02,184.35
Comoros,51.34,53.07,54.9,56.91,59.01,61.25,63.52,65.76,67.98,70.28,72.68,75.12,77.53,79.93,82.36,84.75,87.25,89.68,92.09,94.29,96.37
Congo,44.52,52.45,47.66,49.33,50.95,52.78,54.62,56.39,58.21,60.08,62.38,65.38,69.29,74.18,80.0,86.46,93.38,99.98,105.83,110.53,113.51
Côte d'Ivoire,77.28,79.74,82.78,85.56,88.03,90.47,93.52,96.89,100.14,103.18,106.43,110.15,114.38,118.3,122.09,125.68,129.44,133.0,136.43,139.8,142.94
Democratic Republic of the Congo,81.68,84.4,87.24,90.26,93.42,96.49,99.74,103.29,106.82,110.67,114.6,118.77,123.02,127.54,132.24,136.88,141.75,146.53,151.21,155.81,160.08
Equatorial Guinea,79.29,81.89,84.71,87.62,90.64,93.74,96.8,100.23,103.58,107.46,111.27,115.34,119.58,124.06,128.78,133.46,137.99,142.42,146.99,151.32,155.5
Eritrea,39.32,40.58,41.95,43.4,44.85,46.39,48.12,49.77,51.55,53.3,55.21,57.35,59.58,62.04,64.73,67.62,70.64,73.91,77.47,81.3,85.49
Eswatini,56.16,56.9,59.64,63.23,61.85,64.43,67.93,67.85,70.38,76.5,88.34,98.22,103.67,105.08,109.48,118.93,118.9,118.41,116.99,115.3,112.25
Ethiopia,48.75,50.85,53.24,55.97,59.02,62.37,65.89,69.64,73.56,77.7,82.07,86.7,91.72,97.07,102.82,108.89,115.28,121.69,128.08,134.41,140.47
Gabon,41.03,43.2,44.91,46.59,48.36,50.4,52.19,54.21,56.77,59.27,61.77,64.58,67.06,69.55,72.13,74.33,76.59,78.76,80.83,82.76,84.48
Gambia,49.63,51.49,53.4,55.48,57.69,60.09,62.61,65.22,67.99,70.85,73.95,77.17,80.58,84.09,87.83,91.84,95.9,100.16,104.52,109.07,113.68
Ghana,45.5,47.21,49.07,51.02,53.11,55.37,57.82,60.5,63.42,66.54,69.84,73.05,76.06,78.75,81.17,83.52,86.07,88.91,92.25,96.04,100.1
Guinea,101.56,104.02,106.22,108.31,110.12,112.61,114.46,115.75,117.75,119.76,121.91,124.28,126.9,129.83,133.28,137.25,141.83,147.05,152.86,159.0,165.57
Guinea-Bissau,76.98,79.53,82.43,85.48,88.57,91.85,95.46,99.39,103.9,109.04,114.35,120.15,126.31,132.64,138.93,145.21,151.48,157.64,163.43,169.06,174.5
Kenya,38.57,39.44,40.83,42.41,43.84,45.86,48.05,50.07,52.23,53.92,56.07,58.68,62.7,67.56,71.64,75.99,80.79,85.3,89.9,94.47,98.82
Lesotho,75.49,77.19,76.37,75.48,77.82,82.49,83.98,85.11,86.85,89.38,93.03,101.64,111.35,113.73,116.76,116.55,115.03,113.39,111.58,109.64,107.5
Liberia,78.29,80.56,82.57,84.47,86.26,88.32,92.15,92.05,94.23,96.81,99.91,103.61,108.23,113.99,121.03,129.58,139.66,150.99,163.26,176.13,189.18
Madagascar,66.12,66.05,65.84,65.74,65.79,65.96,66.35,66.99,67.95,69.24,70.92,72.94,75.39,78.17,81.29,84.69,88.3,92.16,96.25,100.62,105.26
Malawi,43.51,45.56,47.77,50.65,53.51,56.64,59.83,64.47,70.51,76.88,83.02,88.15,93.41,99.12,103.9,110.43,119.67,131.78,145.72,160.43,174.21
Mali,100.06,103.13,106.2,109.31,112.4,115.64,119.0,122.5,126.13,130.04,134.13,138.38,142.86,147.56,152.53,157.77,163.34,169.23,175.28,181.51,187.67
Mauritania,41.83,43.18,44.56,45.97,47.42,48.94,50.46,51.93,53.37,54.91,56.66,58.64,61.16,64.23,68.03,72.52,77.65,83.12,88.69,93.96,98.77
Mauritius,16.33,15.91,15.36,14.86,14.57,14.6,14.75,14.87,14.86,14.76,14.62,14.58,14.8,15.16,15.47,15.63,15.76,16.02,16.56,17.49,18.85
Mozambique,71.64,73.5,76.33,78.4,80.79,84.02,88.27,92.08,96.4,100.59,104.76,107.45,113.23,119.26,126.49,132.33,138.55,145.43,152.96,161.26,170.66
Namibia,40.28,41.87,43.56,44.37,45.48,46.25,45.53,48.08,50.34,49.17,49.37,52.06,55.44,60.99,65.31,70.34,73.79,74.01,74.82,75.99,77.0
Niger,116.32,117.02,117.66,118.37,119.14,120.16,121.63,123.44,125.98,129.14,133.29,138.58,145.06,152.76,161.63,171.83,183.13,195.03,206.87,218.25,228.51
Nigeria,113.82,116.8,119.57,122.39,124.71,126.41,128.02,129.62,131.35,133.42,135.72,138.51,141.91,145.79,150.24,155.11,160.38,165.81,171.43,176.97,182.43
Rwanda,40.68,42.1,43.4,44.63,46.06,47.74,49.78,52.16,55.16,58.64,63.78,69.55,76.28,84.47,93.89,105.23,118.34,133.22,149.6,167.56,185.42
Sao Tome and Principe,16.19,17.15,18.27,19.68,21.36,23.28,25.44,27.82,30.49,33.3,36.33,39.54,43.1,46.97,51.21,55.79,60.69,65.89,71.28,76.86,82.4
Senegal,40.14,41.81,43.75,45.95,48.38,51.0,53.76,56.67,59.75,62.93,66.4,70.2,74.46,79.39,85.12,91.68,99.08,107.05,115.23,123.02,129.71
Seychelles,14.18,14.4,14.53,14.59,14.57,14.54,14.5,14.45,14.39,14.33,14.25,14.18,14.12,14.08,14.04,13.99,13.95,13.92,13.89,13.87,13.86
Sierra Leone,108.52,112.52,116.79,121.36,126.1,140.98,139.98,141.88,147.97,154.45,161.41,168.46,175.66,182.82,189.71,196.48,202.8,208.99,214.79,220.44,225.87
South Africa,33.74,34.34,35.09,35.82,36.56,37.34,38.26,39.58,41.53,45.48,51.59,59.9,68.27,74.61,78.95,79.24,77.77,76.49,75.16,73.3,71.01
South Sudan,98.69,98.69,98.69,98.69,98.69,98.69,98.71,99.21,101.02,104.5,109.14,114.69,120.42,126.74,133.24,140.09,147.53,155.54,164.02,172.66,181.59
Togo,64.61,66.65,68.8,71.16,73.51,75.93,78.46,81.06,83.7,86.4,89.09,91.86,94.62,97.41,100.26,103.23,106.37,109.63,113.02,116.5,120.01
Uganda,43.67,45.56,47.74,50.17,52.71,55.98,59.12,62.46,66.71,71.6,76.4,81.7,87.03,93.1,99.79,107.18,115.16,123.47,131.58,139.27,146.1
United Republic of Tanzania,49.0,50.44,51.88,53.9,55.82,58.02,59.84,62.52,65.18,68.21,71.74,75.25,79.61,83.9,88.91,94.05,100.04,106.67,114.03,121.92,129.85
Zambia,59.67,62.59,64.22,64.15,65.33,68.22,69.51,72.0,74.55,76.55,78.74,83.27,88.48,93.34,98.92,106.73,115.76,125.95,136.49,146.95,155.66
Zimbabwe,51.77,52.67,53.69,56.18,57.87,60.47,62.61,66.22,72.15,80.59,86.11,91.25,94.7,96.23,95.59,93.65,92.87,92.6,93.41,94.52,96.17
Anguilla,4.18,4.33,4.49,4.64,4.8,4.97,5.14,5.33,5.55,5.79,6.05,6.34,6.62,6.91,7.23,7.56,7.92,8.31,8.71,9.12,9.57
Antigua and Barbuda,6.36,6.59,6.84,7.12,7.43,7.75,8.13,8.55,9.02,9.53,10.06,10.6,11.16,11.75,12.34,12.94,13.53,14.1,14.65,15.12,15.53
Argentina,7.7,8.58,9.45,10.25,10.97,11.59,12.17,12.75,13.34,13.93,14.48,14.96,15.37,15.72,16.11,16.59,17.13,17.72,18.34,18.99,19.68
Bahamas,13.32,23.42,13.53,13.63,13.76,13.93,14.15,14.41,14.72,15.06,15.44,15.82,16.2,16.53,16.79,16.92,16.91,16.79,16.6,16.41,16.3
Barbados,12.29,12.66,13.04,13.43,13.77,14.07,14.35,14.55,14.74,14.86,15.0,15.14,15.31,15.47,15.63,15.74,15.78,15.72,15.59,15.38,15.16
Belize,11.7,12.3,12.98,13.73,14.51,15.32,16.12,16.93,17.68,18.35,18.94,19.45,19.88,20.26,20.6,20.92,21.28,21.7,22.21,22.85,23.61
Bolivia (Plurinational State of),25.63,26.59,27.72,28.92,30.2,31.64,33.33,35.22,37.3,39.54,41.89,44.44,47.13,50.0,53.07,56.34,59.79,63.46,67.32,71.37,75.63
Brazil,14.7,14.94,15.16,15.39,16.75,15.95,16.3,16.72,17.24,17.88,18.64,19.55,20.61,21.84,23.24,24.8,26.53,28.43,30.41,32.52,34.73
British Virgin Islands,10.85,11.18,11.55,11.89,12.29,12.69,13.06,13.44,13.8,14.16,14.51,14.8,15.05,15.25,15.33,15.4,15.45,15.47,15.55,15.63,15.74
Canada,5.11,5.18,5.23,5.28,5.33,5.39,5.45,5.51,5.58,5.65,5.72,5.8,5.88,5.96,6.03,6.1,6.14,6.17,6.18,6.2,6.23
Chile,6.85,7.15,7.4,7.61,7.79,7.96,8.11,8.25,8.39,8.54,8.7,8.82,8.88,8.91,8.96,9.1,9.29,9.51,9.81,10.26,10.89
Colombia,13.25,13.72,14.14,14.62,15.09,15.6,16.12,16.66,17.23,17.8,18.38,19.0,19.62,20.24,20.87,21.52,22.17,22.84,23.55,24.29,25.07
Costa Rica,7.92,8.2,8.44,8.66,8.87,9.08,9.32,9.6,9.92,10.22,10.5,10.73,10.92,11.07,11.2,11.34,11.52,11.78,12.14,12.59,13.11
Cuba,5.11,5.22,5.32,5.43,5.54,5.65,5.78,5.91,6.05,6.2,6.36,6.54,6.73,6.94,7.15,7.38,7.64,7.9,8.18,8.49,8.81
Dominica,35.62,35.18,34.51,33.6,32.47,31.22,29.88,28.51,27.16,25.84,24.6,23.44,22.39,21.42,20.53,19.73,19.02,18.38,17.82,17.34,16.93
Dominican Republic,33.74,34.34,34.76,35.05,35.09,35.09,35.1,35.09,35.12,35.15,35.24,35.36,35.53,35.77,36.09,36.49,36.95,37.51,38.24,39.06,40.05
Ecuador,12.93,13.41,13.88,14.35,14.84,15.37,15.95,16.6,17.33,18.13,18.98,19.87,20.77,21.68,22.6,23.52,24.47,25.52,26.7,28.06,29.63
El Salvador,12.84,13.32,13.78,14.28,14.83,15.41,16.03,16.74,17.53,18.37,19.33,20.31,21.38,22.49,23.71,25.02,26.43,27.96,29.59,31.31,33.14
Grenada,16.38,16.46,16.45,16.39,16.31,16.19,16.06,15.9,15.73,15.56,15.42,15.3,15.2,15.14,15.12,15.13,15.14,15.17,15.21,15.28,15.4
Guatemala,23.8,24.57,25.44,26.35,27.35,28.39,29.51,30.76,32.05,33.4,34.83,36.28,37.8,39.39,41.02,42.7,44.44,46.22,48.12,50.06,52.12
Guyana,28.53,29.43,30.32,31.28,32.18,33.11,34.12,35.0,35.86,36.62,37.35,38.07,38.84,39.67,40.53,41.39,42.31,43.25,44.31,45.43,46.6
Haiti,60.51,62.5,64.37,66.34,68.21,70.13,71.98,73.9,75.77,77.64,130.12,81.38,83.29,85.21,87.31,89.53,91.87,94.45,97.29,100.46,103.87
Honduras,17.14,17.76,18.4,19.06,19.77,20.52,21.29,22.08,22.89,23.75,24.66,25.61,26.62,27.67,28.82,30.04,31.36,32.75,34.25,35.81,37.46
Jamaica,12.83,13.25,13.7,14.13,14.57,15.0,15.43,15.88,16.35,16.82,17.28,17.69,18.07,18.39,18.67,18.93,19.24,19.58,19.97,20.41,20.93
