Countries,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Anguilla,4.18 ,4.33 ,4.49 ,4.64 ,4.8 ,4.97 ,5.14 ,5.33 ,5.55 ,5.79 ,6.05 ,6.34 ,6.62 ,6.91 ,7.23 ,7.56 ,7.92 ,8.31 ,8.71 ,9.12 ,9.57 
Antigua and Barbuda,6.36 ,6.59 ,6.84 ,7.12 ,7.43 ,7.75 ,8.13 ,8.55 ,9.02 ,9.53 ,10.06 ,10.6 ,11.16 ,11.75 ,12.34 ,12.94 ,13.53 ,14.1 ,14.65 ,15.12 ,15.53 
Argentina,7.7 ,8.58 ,9.45 ,10.25 ,10.97 ,11.59 ,12.17 ,12.75 ,13.34 ,13.93 ,14.48 ,14.96 ,15.37 ,15.72 ,16.11 ,16.59 ,17.13 ,17.72 ,18.34 ,18.99 ,19.68 
Bahamas,13.32 ,23.42 ,13.53 ,13.63 ,13.76 ,13.93 ,14.15 ,14.41 ,14.72 ,15.06 ,15.44 ,15.82 ,16.2 ,16.53 ,16.79 ,16.92 ,16.91 ,16.79 ,16.6 ,16.41 ,16.3 
Barbados,12.29 ,12.66 ,13.04 ,13.43 ,13.77 ,14.07 ,14.35 ,14.55 ,14.74 ,14.86 ,15 ,15.14 ,15.31 ,15.47 ,15.63 ,15.74 ,15.78 ,15.72 ,15.59 ,15.38 ,15.16 
Belize,11.7 ,12.3 ,12.98 ,13.73 ,14.51 ,15.32 ,16.12 ,16.93 ,17.68 ,18.35 ,18.94 ,19.45 ,19.88 ,20.26 ,20.6 ,20.92 ,21.28 ,21.7 ,22.21 ,22.85 ,23.61 
Bolivia (Plurinational State of),25.63 ,26.59 ,27.72 ,28.92 ,30.2 ,31.64 ,33.33 ,35.22 ,37.3 ,39.54 ,41.89 ,44.44 ,47.13 ,50 ,53.07 ,56.34 ,59.79 ,63.46 ,67.32 ,71.37 ,75.63 
Brazil,14.7 ,14.94 ,15.16 ,15.39 ,16.75 ,15.95 ,16.3 ,16.72 ,17.24 ,17.88 ,18.64 ,19.55 ,20.61 ,21.84 ,23.24 ,24.8 ,26.53 ,28.43 ,30.41 ,32.52 ,34.73 
British Virgin Islands,10.85 ,11.18 ,11.55 ,11.89 ,12.29 ,12.69 ,13.06 ,13.44 ,13.8 ,14.16 ,14.51 ,14.8 ,15.05 ,15.25 ,15.33 ,15.4 ,15.45 ,15.47 ,15.55 ,15.63 ,15.74 
Canada,5.11 ,5.18 ,5.23 ,5.28 ,5.33 ,5.39 ,5.45 ,5.51 ,5.58 ,5.65 ,5.72 ,5.8 ,5.88 ,5.96 ,6.03 ,6.1 ,6.14 ,6.17 ,6.18 ,6.2 ,6.23 
