Countries,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Afghanistan,57.8 ,59.92 ,62.17 ,64.58 ,67.25 ,70.17 ,73.38 ,76.77 ,80.27 ,83.96 ,87.79 ,91.79 ,95.87 ,100.04 ,104.27 ,108.56 ,112.79 ,117.03 ,121.19 ,125.31 ,129.34 
Bahrain,7.03 ,7.12 ,7.19 ,7.26 ,7.34 ,7.44 ,7.55 ,7.69 ,7.89 ,8.14 ,8.47 ,8.88 ,9.34 ,9.81 ,10.25 ,10.65 ,10.98 ,11.29 ,11.61 ,11.99 ,12.48 
Djibouti,55.95 ,57.92 ,59.94 ,61.92 ,63.79 ,65.63 ,67.84 ,69.88 ,72.16 ,74.31 ,76.51 ,78.87 ,81.25 ,83.67 ,86.08 ,88.51 ,90.99 ,93.42 ,95.94 ,98.35 ,100.57 
Egypt,19.58 ,20.29 ,21.02 ,21.78 ,22.58 ,23.42 ,24.32 ,25.34 ,26.44 ,27.58 ,28.79 ,30.08 ,31.41 ,32.81 ,34.27 ,35.86 ,37.59 ,39.49 ,41.62 ,44.02 ,46.7 
Iran (Islamic Republic of),13.05 ,13.49 ,13.98 ,14.46 ,15 ,15.53 ,16.15 ,16.8 ,17.53 ,18.36 ,19.31 ,20.42 ,21.71 ,23.12 ,24.67 ,26.32 ,28.12 ,30.04 ,32.03 ,34.05 ,36.08 
Iraq,25.36 ,26.23 ,27.05 ,27.9 ,28.82 ,29.76 ,30.75 ,31.75 ,32.78 ,33.83 ,34.89 ,35.97 ,37.02 ,38.06 ,39.05 ,40.02 ,40.93 ,41.81 ,42.68 ,43.54 ,44.45 
Jordan,15.05 ,15.53 ,16.01 ,16.49 ,16.99 ,17.51 ,18.02 ,18.52 ,19.03 ,19.59 ,20.14 ,20.72 ,21.32 ,21.93 ,22.56 ,23.24 ,23.93 ,24.64 ,25.36 ,26.1 ,26.85 
Kuwait,8.8 ,8.82 ,8.83 ,8.87 ,8.95 ,9.1 ,9.31 ,9.6 ,9.95 ,10.34 ,10.71 ,11.01 ,11.25 ,11.43 ,11.59 ,11.75 ,11.96 ,12.16 ,12.35 ,12.54 ,12.79 
Lebanon,8.45 ,8.65 ,8.83 ,9.01 ,9.2 ,9.43 ,9.69 ,9.99 ,10.35 ,10.76 ,11.23 ,11.77 ,12.38 ,13.09 ,13.92 ,14.81 ,15.77 ,16.82 ,17.9 ,19.02 ,20.1 
Libya,11.12 ,11.5 ,11.9 ,12.33 ,12.77 ,13.29 ,13.82 ,14.41 ,15.05 ,19.49 ,16.6 ,17.58 ,18.76 ,20.18 ,21.69 ,23.13 ,24.42 ,25.52 ,26.45 ,27.28 ,28.1 
Morocco,18.74 ,19.52 ,20.38 ,21.32 ,22.38 ,23.6 ,24.94 ,26.39 ,27.93 ,29.53 ,31.25 ,33.09 ,35.06 ,37.15 ,39.3 ,41.51 ,43.7 ,45.86 ,48.01 ,50.16 ,52.35 
Oman,10.37 ,10.6 ,10.81 ,10.97 ,11.08 ,11.16 ,11.25 ,11.36 ,11.48 ,11.6 ,11.73 ,11.85 ,11.99 ,12.16 ,12.41 ,12.73 ,13.17 ,13.73 ,14.45 ,15.32 ,16.34 
Pakistan,65.48 ,67.5 ,69.64 ,71.77 ,73.95 ,76.18 ,78.43 ,80.71 ,82.95 ,85.15 ,87.22 ,89.21 ,91.05 ,92.86 ,94.65 ,96.51 ,98.46 ,100.52 ,102.75 ,105.28 ,108.08 
Qatar,5.66 ,6.06 ,6.49 ,6.92 ,7.35 ,7.76 ,8.13 ,8.45 ,8.71 ,8.94 ,9.15 ,9.37 ,9.6 ,9.84 ,10.12 ,10.43 ,10.77 ,11.17 ,11.59 ,12.03 ,12.49 
