Countries,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Bangladesh,28.77 ,30.42 ,32.2 ,34.07 ,35.99 ,37.97 ,40.02 ,42.14 ,44.35 ,46.68 ,49.15 ,51.81 ,54.68 ,57.74 ,61.03 ,64.54 ,68.29 ,72.28 ,76.55 ,81.14 ,86.07 
Bhutan,27.55 ,28.52 ,29.59 ,30.64 ,31.87 ,33.2 ,34.66 ,36.27 ,38.05 ,40.06 ,42.36 ,44.97 ,47.82 ,50.88 ,54.13 ,57.56 ,61.16 ,64.94 ,68.82 ,72.89 ,77.1 
Democratic People's Republic of Korea,16.5 ,17.3 ,18.2 ,19 ,20 ,21.1 ,22.4 ,24 ,25.7 ,27.7 ,29.5 ,31 ,31.8 ,32.2 ,32.4 ,33 ,35 ,38.9 ,44.7 ,52.1 ,60 
India,32.38 ,34.33 ,36.43 ,38.66 ,41.04 ,43.57 ,46.23 ,49.05 ,51.97 ,54.99 ,58.1 ,61.29 ,64.52 ,67.79 ,71.09 ,74.39 ,77.69 ,81.06 ,84.5 ,88.04 ,91.63 
Indonesia,22.94 ,23.75 ,24.64 ,25.57 ,26.6 ,27.68 ,28.81 ,30 ,31.23 ,32.5 ,33.85 ,35.26 ,36.74 ,38.28 ,39.92 ,41.66 ,49.6 ,45.51 ,47.64 ,49.87 ,52.23 
Maldives,6.42 ,6.97 ,7.62 ,8.3 ,9.03 ,9.77 ,10.54 ,11.31 ,12.1 ,12.94 ,13.86 ,14.89 ,16.11 ,17.56 ,19.33 ,21.48 ,26.88 ,27.18 ,30.74 ,34.74 ,39.1 
Myanmar,43.24 ,44.77 ,46.42 ,48.07 ,49.87 ,51.79 ,53.76 ,55.88 ,58.21 ,60.76 ,63.43 ,66.07 ,98.68 ,71.57 ,74.27 ,76.91 ,79.52 ,82.02 ,84.47 ,86.85 ,89.26 
Nepal,28.19 ,29.34 ,30.63 ,32.1 ,33.74 ,35.53 ,37.43 ,39.38 ,41.45 ,43.61 ,45.87 ,48.23 ,50.75 ,53.44 ,56.27 ,59.36 ,62.71 ,66.35 ,70.3 ,74.56 ,79.11 
Sri Lanka,7 ,7.28 ,7.58 ,7.93 ,8.32 ,8.78 ,9.31 ,9.85 ,10.37 ,10.84 ,11.22 ,20.93 ,11.95 ,12.58 ,13.36 ,14.1 ,28.86 ,15.14 ,15.56 ,16 ,16.52 
Thailand,8.63 ,9.01 ,9.42 ,9.85 ,10.32 ,10.79 ,11.29 ,11.82 ,12.37 ,12.95 ,13.56 ,14.2 ,14.88 ,15.59 ,16.36 ,17.16 ,18.01 ,18.91 ,19.87 ,20.87 ,21.95 
Timor-Leste,52.16 ,53.92 ,55.81 ,57.69 ,59.66 ,61.57 ,63.47 ,65.31 ,67.16 ,69.22 ,71.43 ,73.99 ,76.81 ,80.05 ,83.67 ,87.58 ,91.8 ,96.37 ,101.14 ,106.07 ,111.34 
