Countries,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Australia,3.74 ,3.75 ,3.76 ,3.78 ,3.81 ,3.87 ,3.98 ,4.13 ,4.32 ,4.54 ,4.77 ,5 ,5.22 ,5.42 ,5.58 ,5.72 ,5.83 ,5.91 ,5.99 ,6.08 ,6.19 
Brunei Darussalam,11.5 ,11.4 ,11.23 ,11.01 ,10.81 ,10.59 ,10.38 ,10.17 ,9.99 ,9.83 ,9.69 ,9.58 ,9.51 ,9.47 ,9.46 ,9.49 ,9.55 ,9.65 ,9.82 ,10.04 ,10.33 
Cambodia,25.79 ,26.81 ,27.83 ,28.94 ,30.26 ,31.75 ,33.38 ,35.34 ,37.75 ,40.63 ,43.95 ,47.55 ,51.35 ,55.33 ,59.77 ,64.78 ,70.83 ,78.23 ,86.92 ,96.86 ,106.3 
China,7.44 ,7.98 ,8.58 ,9.22 ,9.93 ,10.71 ,11.56 ,12.48 ,13.48 ,14.57 ,15.76 ,17.05 ,18.49 ,20.11 ,21.95 ,24.02 ,26.34 ,28.86 ,31.48 ,34.11 ,36.68 
Cook Islands,7.39 ,7.64 ,7.91 ,8.19 ,8.5 ,8.8 ,9.12 ,9.49 ,9.87 ,10.29 ,10.77 ,11.29 ,11.9 ,12.58 ,13.29 ,14.03 ,14.79 ,15.57 ,16.35 ,17.17 ,18 
Fiji,27.48 ,26.94 ,26.27 ,25.61 ,25 ,24.48 ,24.06 ,23.77 ,23.65 ,23.65 ,23.72 ,23.81 ,23.85 ,23.76 ,23.55 ,23.27 ,22.96 ,22.7 ,22.54 ,22.51 ,22.58 
Japan,2.39 ,2.47 ,2.54 ,2.62 ,2.69 ,2.76 ,2.84 ,2.92 ,3.01 ,3.21 ,3.2 ,3.3 ,3.41 ,3.52 ,3.63 ,3.74 ,3.86 ,3.99 ,4.13 ,4.31 ,4.51 
Kiribati,49.8 ,51.36 ,52.86 ,54.43 ,56.09 ,57.54 ,59.07 ,60.66 ,62.08 ,63.3 ,64.49 ,65.13 ,65.4 ,65.21 ,64.83 ,64.46 ,64.32 ,64.57 ,65.26 ,66.37 ,67.87 
Lao People's Democratic Republic,44.13 ,45.8 ,47.5 ,49.39 ,51.49 ,53.74 ,56.22 ,59.02 ,61.97 ,65.05 ,68.29 ,71.7 ,75.25 ,78.97 ,82.86 ,86.8 ,90.81 ,94.88 ,98.96 ,103.13 ,107.28 
Malaysia,7.72 ,7.88 ,8.01 ,8.11 ,8.16 ,8.16 ,8.12 ,8.08 ,8.06 ,8.1 ,8.14 ,8.15 ,8.13 ,8.13 ,8.15 ,8.21 ,8.32 ,8.53 ,8.9 ,9.46 ,10.16 
Marshall Islands,30.72 ,31.76 ,32.73 ,33.61 ,34.58 ,35.51 ,36.39 ,37.25 ,38.02 ,38.67 ,39.13 ,39.55 ,39.92 ,40.3 ,40.71 ,41.11 ,41.45 ,41.81 ,42.01 ,42.11 ,42.06 
Micronesia (Federated States of),25.64 ,26.4 ,27.34 ,28.21 ,29.23 ,30.17 ,31.09 ,32.03 ,33.03 ,33.74 ,34.49 ,35.09 ,35.59 ,35.91 ,35.97 ,36.01 ,36.07 ,36.31 ,41.43 ,37.52 ,38.46 
Mongolia,15.35 ,16.04 ,16.79 ,17.61 ,18.5 ,19.43 ,20.38 ,21.45 ,22.76 ,24.36 ,26.29 ,28.56 ,31.19 ,34.14 ,37.43 ,41.01 ,44.93 ,49.19 ,53.79 ,58.64 ,63.64 
Nauru,28.58 ,29.57 ,30.5 ,31.43 ,32.35 ,33.3 ,34.22 ,35.13 ,36.04 ,36.85 ,37.56 ,38.07 ,38.26 ,38.24 ,38.31 ,38.44 ,38.81 ,39.41 ,40.29 ,41.38 ,42.65 
New Zealand,4.83 ,4.93 ,5.05 ,5.19 ,5.34 ,5.5 ,5.67 ,5.84 ,5.99 ,6.12 ,6.23 ,6.32 ,6.39 ,6.46 ,6.54 ,6.63 ,6.75 ,6.89 ,7.04 ,7.2 ,7.39 
Niue,24.96 ,25.76 ,26.59 ,27.41 ,28.23 ,29.02 ,29.99 ,30.9 ,31.88 ,32.83 ,33.68 ,34.37 ,35.06 ,35.55 ,35.81 ,35.88 ,35.47 ,34.91 ,34.15 ,33.24 ,32.31 
Palau,16.81 ,17.37 ,17.92 ,18.52 ,19.13 ,19.74 ,20.43 ,21.12 ,21.79 ,22.43 ,23.08 ,23.67 ,24.33 ,24.93 ,25.42 ,25.94 ,26.44 ,26.9 ,27.41 ,27.91 ,28.47 
Papua New Guinea,44.17 ,45.52 ,46.89 ,48.31 ,49.74 ,51.09 ,52.47 ,53.84 ,55.19 ,56.59 ,57.98 ,59.42 ,60.85 ,62.28 ,63.65 ,64.98 ,66.3 ,67.56 ,68.75 ,69.96 ,71.14 
Philippines,26.5 ,27.28 ,28.02 ,28.69 ,29.29 ,29.78 ,30.21 ,30.59 ,31 ,31.37 ,31.76 ,32.17 ,32.62 ,33.09 ,33.63 ,34.23 ,34.88 ,35.56 ,36.26 ,36.97 ,37.71 
Republic of Korea,3.01 ,3.12 ,3.23 ,3.33 ,3.42 ,3.52 ,3.62 ,3.73 ,3.85 ,3.97 ,4.12 ,4.31 ,4.54 ,4.83 ,5.18 ,5.57 ,5.98 ,6.39 ,6.77 ,7.15 ,7.53 
Samoa,17.13 ,17.53 ,17.89 ,18.2 ,18.4 ,18.59 ,18.78 ,18.96 ,19.13 ,19.29 ,19.37 ,25.69 ,19.36 ,19.3 ,19.26 ,19.29 ,19.42 ,19.68 ,20.07 ,20.6 ,21.26 
Singapore,2.23 ,2.4 ,2.54 ,2.65 ,2.71 ,2.74 ,2.75 ,2.76 ,2.78 ,2.81 ,2.83 ,2.84 ,2.85 ,2.85 ,2.88 ,2.94 ,3.04 ,3.18 ,3.37 ,3.6 ,3.87 
Solomon Islands,19.39 ,20.02 ,20.69 ,21.37 ,22.08 ,22.77 ,23.46 ,24.14 ,24.89 ,25.63 ,26.39 ,27.1 ,27.76 ,28.33 ,28.83 ,29.23 ,29.54 ,29.83 ,30.09 ,30.4 ,30.77 
Tonga,11.43 ,11.7 ,11.91 ,12.1 ,12.25 ,12.37 ,12.48 ,12.59 ,12.76 ,12.94 ,13.18 ,13.44 ,13.72 ,14.04 ,14.39 ,14.75 ,15.15 ,15.58 ,16.04 ,16.51 ,16.97 
Tuvalu,21.93 ,22.68 ,23.57 ,24.34 ,25.26 ,26.1 ,27.08 ,28 ,29.02 ,30.11 ,31.33 ,32.66 ,34.05 ,35.37 ,36.64 ,37.78 ,38.73 ,39.56 ,40.32 ,41.15 ,42.17 
Vanuatu,24.01 ,24.67 ,25.33 ,26.02 ,26.68 ,27.3 ,27.84 ,28.3 ,28.59 ,28.71 ,28.65 ,28.58 ,28.53 ,28.44 ,28.3 ,28.24 ,28.24 ,28.28 ,28.39 ,28.57 ,28.85 
Viet Nam,20.85 ,21.06 ,21.25 ,21.46 ,21.67 ,21.89 ,22.11 ,22.33 ,22.56 ,22.8 ,23.05 ,23.33 ,23.67 ,24.07 ,24.55 ,25.12 ,25.83 ,26.66 ,27.61 ,28.7 ,30 
