Countries,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Afghanistan,75,72,70,67,64,61,59,56,53,51,48,46,43,41,38,36,34,32,30,28,28
Albania,95,95,94,94,94,93,93,93,92,92,91,91,90,90,90,89,89,88,87,87,87
Algeria,94,94,94,94,94,93,93,93,93,93,92,92,92,92,91,91,91,91,90,90,90
Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Angola,57,57,57,56,55,54,54,53,52,51,50,50,49,48,47,46,45,44,43,42,41
Antigua and Barbuda,,,,97,97,97,97,97,97,97,97,97,97,97,98,98,98,98,98,98,98
Argentina,,,,,99,99,99,99,99,99,98,98,98,98,98,97,97,97,97,97,96
Armenia,100,100,100,100,100,100,99,99,99,99,98,98,98,97,97,97,96,96,96,95,95
Australia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,96,95,95,94,93,92,91,90,89,87,86,85,83,82,81,80,78,77,76,75,74
Bahamas,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,98
Bahrain,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bangladesh,98,98,97,97,97,97,97,97,97,97,96,96,96,96,96,96,95,95,95,95,95
Barbados,99,99,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Belarus,97,97,97,97,96,96,96,97,97,97,98,98,98,98,99,99,99,99,99,99,99
Belgium,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Belize,98,98,98,98,98,97,97,96,95,95,94,93,93,92,91,91,90,89,89,88,87
Benin,65,65,65,65,65,65,65,65,64,64,64,64,64,64,63,63,63,63,63,62,62
Anguilla,,,,97,97,97,97,97,97,97,97,97,97,97,97,97,97,96,96,96,96
Bhutan,97,97,97,97,97,96,95,95,94,93,92,92,91,90,89,88,87,86,85,84,83
Bolivia (Plurinational State of),93,93,92,92,91,90,90,89,89,88,87,87,86,85,84,84,83,82,82,81,80
Bosnia and Herzegovina,96,96,96,96,96,96,96,96,96,97,97,97,97,97,97,97,97,97,97,97,97
Botswana,92,92,91,90,89,88,87,86,85,84,83,82,80,79,77,76,76,76,76,76,75
Brazil,99,99,99,98,98,98,98,97,97,97,97,96,96,96,95,95,95,94,94,94,93
Brunei Darussalam,100,100,100,100,100,100,100,100,100,100,99,99,99,99,100,100,100,100,100,100,100
Bulgaria,99,99,99,99,99,99,99,99,99,99,99,99,99,100,100,100,100,100,100,100,100
Burkina Faso,47,48,48,49,50,50,51,51,52,53,53,54,54,55,56,56,57,57,58,58,58
Burundi,62,62,61,61,60,60,59,58,58,57,57,56,55,55,54,54,53,52,52,51,51
Cabo Verde,89,88,88,87,86,85,85,84,84,83,83,83,82,82,81,81,80,80,79,79,79
Cambodia,71,71,70,70,69,68,68,67,66,66,65,64,63,62,61,60,59,57,56,54,53
Cameroon,66,65,65,65,64,64,64,63,63,62,62,62,61,61,60,60,59,59,59,58,58
Canada,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Central African Republic,37,38,39,40,41,42,43,44,45,47,48,49,50,51,52,53,54,55,57,58,59
Chad,46,46,45,45,45,44,44,44,43,43,43,42,42,42,41,41,41,40,40,40,40
Chile,100,100,100,100,100,100,99,99,99,99,98,98,98,98,97,97,97,97,96,96,96
China,94,94,93,93,92,92,91,91,90,89,89,88,87,86,85,85,84,83,82,81,80
Colombia,97,97,97,97,97,96,96,96,95,95,95,95,94,94,94,93,93,93,92,92,91
Comoros,,80,80,80,80,80,80,81,82,83,83,84,85,86,87,88,88,89,90,91,91
Congo,74,74,73,73,72,71,70,69,68,67,66,65,64,63,62,61,60,58,58,57,57
Cook Islands,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Costa Rica,100,100,100,100,100,99,99,99,99,98,98,98,98,97,97,96,96,96,95,95,94
Côte d'Ivoire,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71
Croatia,,,,,,,,,,,,,,99,99,99,99,99,99,99,99
Cuba,97,97,97,96,96,96,96,95,95,95,95,95,94,94,94,94,93,93,93,93,93
Cyprus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Czechia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Democratic People's Republic of Korea,94,94,94,95,95,95,96,96,96,97,97,97,98,98,98,99,99,99,99,99,99
Democratic Republic of the Congo,46,45,45,44,43,43,42,41,41,40,40,39,38,38,37,37,36,35,35,34,34
Denmark,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Djibouti,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,75,75,75,75
Dominica,,,,95,95,95,95,95,95,95,95,95,95,95,95,94,94,94,94,94,94
Dominican Republic,97,97,97,96,96,96,96,96,95,95,95,94,94,93,93,93,92,92,91,91,90
Ecuador,95,95,95,94,94,93,92,92,91,90,90,89,88,87,87,86,85,85,84,83,82
Egypt,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,98,98,98
El Salvador,98,98,98,97,97,96,94,93,92,91,90,88,87,86,85,83,82,81,80,78,78
Equatorial Guinea,,,,65,64,64,64,64,63,62,60,59,58,57,56,55,54,53,53,52,51
Eritrea,,,,,52,51,51,51,50,50,50,50,50,49,49,48,48,48,47,47,47
Estonia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,99,99,99,99,99,99
Eswatini,71,71,70,69,68,67,66,65,64,63,62,61,60,59,58,58,57,56,55,54,53
Ethiopia,50,48,47,45,44,42,41,39,37,36,34,33,31,29,28,26,25,23,21,20,18
Fiji,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94
Finland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
France,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Gabon,85,85,85,85,84,84,83,83,83,83,83,83,83,82,82,82,82,82,81,81,81
Gambia,81,81,80,80,80,79,79,79,78,78,77,77,77,76,76,76,75,75,75,74,74
Georgia,97,97,97,97,96,96,96,95,95,95,95,95,95,95,95,94,94,94,94,94,94
Germany,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Ghana,86,85,84,82,81,80,79,78,77,76,75,73,72,71,70,69,68,67,66,65,64
Greece,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Grenada,,,,96,96,96,96,96,96,96,96,95,95,95,95,94,94,94,94,94,93
Guatemala,94,94,93,93,92,92,92,91,91,91,90,90,90,89,89,88,88,88,87,87,86
Guinea,64,64,64,64,64,64,63,63,63,63,63,62,61,60,59,58,57,56,55,54,53
Guinea-Bissau,59,59,59,59,59,59,59,59,58,58,58,58,58,58,57,57,57,57,57,56,56
Guyana,96,96,96,96,96,95,95,94,94,93,93,92,92,91,91,90,90,89,89,88,88
Haiti,67,66,66,65,65,65,64,64,63,63,62,62,61,61,60,60,59,59,58,57,56
Honduras,96,95,95,94,94,93,93,92,92,91,91,90,90,89,89,88,87,87,86,86,85
Hungary,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Iceland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
India,90,90,90,89,89,88,88,87,87,86,86,85,85,84,84,83,83,82,82,81,80
Indonesia,92,92,91,90,89,89,88,87,86,85,84,84,83,82,81,80,79,78,77,76,75
Iran (Islamic Republic of),97,97,97,97,97,97,97,97,96,96,96,96,96,96,95,95,95,95,95,94,94
Iraq,98,98,97,96,95,94,93,92,92,91,90,89,88,87,86,85,84,84,83,82,81
Ireland,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
Israel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Italy,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Jamaica,91,91,91,91,91,90,90,90,90,91,91,92,92,92,93,93,93,94,93,93,93
Japan,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98
Jordan,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Kazakhstan,95,95,95,95,95,95,95,95,94,94,94,93,93,93,92,92,92,91,91,91,90
Kenya,62,61,60,60,59,58,57,57,56,55,55,54,53,52,52,51,50,50,49,48,47
Kiribati,78,77,76,76,75,74,73,72,71,70,69,69,68,66,65,64,63,63,62,61,60
Kuwait,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Kyrgyzstan,92,91,90,90,89,88,88,87,87,86,85,85,84,84,83,82,82,81,81,80,80
Lao People's Democratic Republic,85,85,83,81,80,77,76,74,72,70,68,66,64,62,60,58,56,53,51,49,46
Latvia,99,99,99,99,99,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Lebanon,93,93,92,92,92,91,91,91,90,90,89,89,89,88,88,88,87,87,87,86,86
Lesotho,72,72,72,71,71,71,70,70,70,69,69,69,68,68,68,68,67,67,67,66,66
Liberia,75,75,74,74,73,73,72,71,71,70,70,69,68,68,67,66,65,64,64,63,62
Libya,100,100,100,99,98,97,96,96,95,94,93,92,91,90,89,89,88,87,86,85,84
Lithuania,98,98,98,98,97,97,96,96,95,95,94,94,93,93,92,92,91,91,91,90,90
Luxembourg,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Madagascar,53,52,52,51,50,49,48,47,46,45,44,44,43,42,41,40,39,38,38,37,36
Malawi,70,69,69,68,67,66,65,65,64,63,62,61,61,60,59,58,57,56,56,55,54
Malaysia,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
Maldives,100,100,99,99,99,99,99,98,98,98,97,97,97,96,96,96,95,95,95,94,94
Mali,83,81,79,78,76,74,73,71,69,68,66,64,63,61,59,58,56,54,53,51,49
Malta,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Marshall Islands,89,89,89,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,
Mauritania,72,71,71,71,69,67,65,63,61,60,58,56,54,52,51,49,47,45,44,42,41
Mauritius,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,99,99,99,99
Mexico,100,99,99,99,98,98,98,97,97,96,96,95,95,94,94,93,92,92,91,91,90
Micronesia (Federated States of),,88,88,88,88,88,88,88,88,88,87,87,87,87,87,86,86,86,86,86,85
Monaco,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Mongolia,85,85,84,83,82,81,80,79,78,77,76,75,73,72,71,69,68,66,65,64,62
Montenegro,99,99,99,98,98,97,97,97,97,96,96,96,96,95,95,,,,,,
Morocco,90,89,88,86,85,84,82,81,80,78,77,75,74,72,71,69,68,66,65,64,62
Mozambique,63,61,58,56,54,51,49,47,44,42,40,38,35,33,31,29,28,26,24,22,21
Myanmar,84,82,80,78,76,74,72,70,68,66,64,62,60,59,57,55,54,52,50,49,47
Namibia,84,84,84,83,83,83,82,82,81,81,81,80,80,79,79,78,78,78,77,77,76
Nauru,100,100,100,100,100,100,100,100,99,99,99,98,98,98,97,97,97,96,96,96,95
Nepal,90,90,89,89,88,88,87,87,86,86,85,85,84,84,83,83,82,82,81,81,80
Netherlands,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
