Countries,2000_DWU,2001_DWU,2002_DWU,2003_DWU,2004_DWU,2005_DWU,2006_DWU,2007_DWU,2008_DWU,2009_DWU,2010_DWU,2011_DWU,2012_DWU,2013_DWU,2014_DWU,2015_DWU,2016_DWU,2017_DWU,2018_DWU,2019_DWU,2020_DWU,2000_LE60,2010_LE60,2015_LE60,2019_LE60
Afghanistan,28.0,28.0,30.0,32.0,34.0,36.0,38.0,41.0,43.0,46.0,48.0,51.0,53.0,56.0,59.0,61.0,64.0,67.0,70.0,72.0,75.0,13.9,15.1,15.6,15.2
Albania,87.0,87.0,87.0,88.0,89.0,89.0,90.0,90.0,90.0,91.0,91.0,92.0,92.0,93.0,93.0,93.0,94.0,94.0,94.0,95.0,95.0,19.0,21.3,21.1,21.0
Algeria,90.0,90.0,90.0,91.0,91.0,91.0,91.0,92.0,92.0,92.0,92.0,93.0,93.0,93.0,93.0,93.0,94.0,94.0,94.0,94.0,94.0,19.8,21.4,21.8,22.0
Angola,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,50.0,51.0,52.0,53.0,54.0,54.0,55.0,56.0,57.0,57.0,57.0,14.4,16.0,16.7,17.0
Antigua and Barbuda,98.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,87.40677966101696,87.69886363636364,87.84302325581395,20.3,20.5,20.4,20.6
Argentina,96.0,97.0,97.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,87.03888888888889,87.40677966101696,87.69886363636364,87.84302325581395,20.2,20.6,21.0,21.1
Armenia,95.0,95.0,96.0,96.0,96.0,97.0,97.0,97.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,18.8,18.8,19.4,20.4
Australia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.1,24.7,25.0,25.6
Austria,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,22.0,23.4,23.6,24.1
Azerbaijan,74.0,75.0,76.0,77.0,78.0,80.0,81.0,82.0,83.0,85.0,86.0,87.0,89.0,90.0,91.0,92.0,93.0,94.0,95.0,95.0,96.0,16.6,16.4,16.6,17.1
Bahamas,98.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,87.84302325581395,19.9,20.7,20.9,20.8
Bahrain,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15.0,17.8,19.7,19.0
Bangladesh,95.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,98.0,98.0,17.8,19.0,20.9,20.9
Barbados,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,20.7,21.3,21.4,20.9
Belarus,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,17.2,17.7,19.2,19.7
Belgium,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21.6,23.1,23.6,24.0
Belize,87.0,88.0,89.0,89.0,90.0,91.0,91.0,92.0,93.0,93.0,94.0,95.0,95.0,96.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,18.7,21.3,21.5,21.5
